GDR2_144559188913607168,TIC_18309682
GDR2_1446001311152718208,TIC_424733549
GDR2_144677523852231040,TIC_18310215
GDR2_1446851787692481792,TIC_383424926
GDR2_1447561075771619200,TIC_305837101
GDR2_144772219288999040,TIC_61228612
GDR2_144772219288999168,TIC_61228605
GDR2_1447985311165577344,TIC_368078742
GDR2_144914777843564416,TIC_118553765
GDR2_144923333418396544,TIC_118556489
GDR2_144936836795636864,TIC_118681038
GDR2_1449481785146363648,TIC_357347137
GDR2_1449513323090959488,TIC_357354431
GDR2_144982329090391168,TIC_430314494
GDR2_145104679822193152,TIC_118522202
GDR2_145125987155266048,TIC_118447125
GDR2_145133786815830784,TIC_118521932
GDR2_145157941711889536,TIC_118521869
GDR2_145185704380510464,TIC_118446945
GDR2_145196252820109440,TIC_61229372
GDR2_1451976542670188160,TIC_383483295
GDR2_145203159127518336,TIC_61230756
GDR2_145203811962545152,TIC_61262687
GDR2_145203979465526912,TIC_61262677
GDR2_145209442664192896,TIC_118521741
GDR2_145210099794710272,TIC_118521730
GDR2_145212706839345152,TIC_118521734
GDR2_145212711134828672,TIC_118521732
GDR2_145213187879627776,TIC_118521708
GDR2_145213192171159552,TIC_118521713
GDR2_145213192171160064,TIC_118521714
GDR2_145213295250374016,TIC_118521702
GDR2_145213875069914496,TIC_118520201
GDR2_145214910158073088,TIC_118554353
GDR2_145225596036660224,TIC_118446763
GDR2_145232158746684160,TIC_118446676
GDR2_145238687096970496,TIC_118520413
GDR2_145244150296483200,TIC_17388093
GDR2_145387464766137600,TIC_17451411
GDR2_1454150861273544704,TIC_105658905
GDR2_145494460991086976,TIC_17455866
GDR2_1455461204256208896,TIC_165765102
GDR2_145568815464379904,TIC_17339518
GDR2_1455706872090040960,TIC_165764986
GDR2_1455929729357283840,TIC_282811482
GDR2_145631556346515072,TIC_17307287
GDR2_145632342324145280,TIC_17305248
GDR2_145850290441940096,TIC_397285285
GDR2_145873345826129024,TIC_456947454
GDR2_145885234295731840,TIC_17557852
GDR2_145886539965771648,TIC_18310671
GDR2_145912893885038336,TIC_18312100
GDR2_145923511044146688,TIC_456941090
GDR2_145925022872632192,TIC_456941080
GDR2_145944023807853440,TIC_18311010
GDR2_145950895754320384,TIC_397285184
GDR2_145951479869920384,TIC_397292071
GDR2_145951789107603200,TIC_397292057
GDR2_145954572246366080,TIC_61230703
GDR2_145964261692536960,TIC_397285146
GDR2_145982742935380096,TIC_118446665
GDR2_146013189959855616,TIC_61263081
GDR2_146025555169599104,TIC_430313932
GDR2_146025559464591488,TIC_430313931
GDR2_146028102086382464,TIC_397284961
GDR2_146049989239615488,TIC_456947959
GDR2_146055624236793472,TIC_397284904
GDR2_146082180018398848,TIC_397291502
GDR2_146100115802055168,TIC_17454981
GDR2_146163067140632576,TIC_17417151
GDR2_146184778197378816,TIC_17416898
GDR2_146232233292371968,TIC_17557352
