tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 461995467,18223,18225,18249,0.566,0.420890937596054,1.1405224707646028e-197
TIC 72499657,14858,14875,14899,1.239,0.822452057870642,1.8326827129018334e-160
TIC 141146667,51632,51632,33379,0.164,0.6534939247309363,0.0
TIC 59836633,47121,47162,31705,0.623,0.8483666685521435,0.0
TIC 206605718,12210,12451,12570,2.373,0.6761684343853064,1.4464895474680576e-133
TIC 290674357,148551,148840,63207,4.254,0.6630316063220388,0.0
TIC 328480578,37667,37670,26046,1.006,0.06781552286583108,6.146461553351936e-284
TIC 155657581,645331,645331,140440,0.184,0.49697559270960356,0.0
TIC 466265409,43971,43984,30035,0.174,0.44515668090283783,0.0
TIC 336741253,92868,93043,48524,1.18,0.5755834074713407,0.0
TIC 454323762,103189,103388,53804,0.845,0.6562268546027821,0.0
TIC 9966678,14489,14499,14687,4.64,0.33450401055630447,2.7489748261094546e-156
TIC 438789953,41447,41487,30192,3.064,0.734422085687814,0.0
TIC 139725285,51505,51527,34529,0.6,0.5040097982912838,0.0
TIC 462320070,161725,161735,65650,0.336,0.5233109137068308,0.0
TIC 180258068,43459,43512,29624,0.819,0.5487479632439316,0.0
TIC 171773770,10479,10490,10676,4.562,0.6996266258823994,6.974098141026703e-112
TIC 409676809,16883,16883,16893,0.361,0.8602938224757629,9.002212968437535e-183
TIC 112176566,40102,40170,29225,1.22,0.7254283987914827,0.0
TIC 436783866,41791,41807,30194,1.113,0.030843475238895524,0.0
TIC 231294802,143289,143307,59820,0.205,0.09635594999306346,0.0
TIC 341448790,145811,145843,63876,5.188,0.020774103526494916,0.0
TIC 459350219,17837,17955,18200,1.334,0.0567170174068052,1.1363240780093108e-194
TIC 187681788,16672,16680,16740,6.458,0.02521488305708085,1.6158937150960987e-180
TIC 245821503,167813,167823,66360,0.293,0.15570042728308667,0.0
TIC 312185848,48391,48401,32601,0.678,0.09216404355136007,0.0
TIC 144126053,93273,93718,48586,3.54,0.6436890583683607,0.0
TIC 428055049,14808,14812,14843,6.984,0.026713854623602387,8.86066435804206e-160
TIC 408589330,38613,38800,26988,2.151,0.6685077189475327,3.1839341368708857e-291
TIC 156084049,49208,49224,31824,5.601,0.1265992212298233,0.0
TIC 245865895,167553,167844,66296,1.299,0.5098793029979759,0.0
TIC 165909066,83493,83801,42548,0.904,0.4356014229975232,0.0
TIC 164210761,43881,43897,31207,8.22,0.025374310105765314,0.0
TIC 159580128,106302,106333,54353,5.561,0.0021500635462838803,0.0
TIC 152176559,39113,40038,29445,3.313,0.6270299093175984,9.195479874229673e-303
TIC 453856042,163741,163835,66613,0.21,0.2565584735118493,0.0
TIC 326538701,11659,11663,11701,1.67,0.26325513010868934,8.160924413171531e-125
TIC 229945262,2612640,2617015,278891,0.866,0.4199006946897955,0.0
TIC 375729536,85414,85432,46184,0.535,0.08624896051579428,0.0
TIC 351680104,19317,19369,19595,6.295,0.4994968468471848,2.2616492086003907e-210
TIC 103107644,11190,11527,15796,5.473,0.9225688000621447,2.6690966468781254e-123
TIC 305535780,13469,13480,13613,6.325,0.26855446733794014,5.632147466651848e-145
TIC 453766186,203618,204541,75906,2.28,0.7785968320336754,0.0
TIC 368723998,41559,41573,29948,1.438,0.08320474337459172,0.0
TIC 217182385,14207,14207,14226,0.302,0.9520892389444513,4.787313830636296e-153
TIC 160004720,93863,93890,48090,0.272,0.006350151491631877,0.0
TIC 400331058,145570,145767,61932,2.453,0.721311635493852,0.0
TIC 170671853,161176,161277,66345,0.731,0.28681775912663315,0.0
TIC 345324572,44840,44950,30748,1.983,0.06082994604506116,0.0
TIC 407624075,18230,18237,18299,0.183,0.0014906207344024282,8.450618142898655e-198
TIC 287132854,356296,356362,99861,10.18,0.007386401277340166,0.0
TIC 256168939,41593,41622,30194,1.547,0.4876373037660046,0.0
TIC 437230158,46368,46517,30991,0.942,0.6679537942992072,0.0
TIC 444536794,161885,161963,65687,1.038,0.1874750037502938,0.0
TIC 464781450,50851,50924,34260,1.202,0.34232778914533457,0.0
TIC 333734230,46970,46984,31315,0.343,0.07678060347261971,0.0
TIC 367180237,95950,96056,48272,6.89,0.2734105181321079,0.0
TIC 308186412,530959,531170,123741,0.407,0.29312501470816177,0.0
TIC 322275995,42518,42603,31383,0.74,0.501606995475184,0.0
TIC 120334442,16274,16376,17221,5.313,0.8508994228159519,3.7592926755405904e-177
TIC 160329609,94349,95289,49616,1.014,0.7869255609224107,0.0
TIC 400513376,93874,93973,47804,2.628,0.4075544581260284,0.0
TIC 364200072,13102,13210,13285,1.523,0.8638734177083041,5.576315292163032e-142
TIC 57513388,45723,45983,30978,0.73,0.7074362880786464,0.0
TIC 56459273,46461,46503,31272,2.897,0.40962022761900946,0.0
TIC 54147487,14654,14837,15506,4.98,0.7043773682465063,4.72190807315357e-160
TIC 220617943,97659,97669,49056,0.292,0.8070444843251077,0.0
TIC 367843143,16463,16565,16693,1.044,0.7745038715279718,3.050744448732701e-179
TIC 255551163,156840,156885,60767,0.613,0.11515056051258933,0.0
TIC 269077806,49051,49629,34235,2.087,0.7016959582331717,0.0
TIC 451922999,45508,45524,30421,1.719,0.09583141135034368,0.0
TIC 382543452,46012,46025,32214,0.765,0.18509187033861477,0.0
TIC 149771158,43563,43611,29972,0.868,0.38054780753959877,0.0
TIC 83211097,41399,41407,29879,10.313,0.015416580375586382,0.0
TIC 122288890,41373,41384,29851,1.72,0.04068580507824615,0.0
TIC 335836484,82016,82105,44542,1.822,0.23723413677349037,0.0
TIC 359892714,145844,145857,63876,0.472,0.30973305630331327,0.0
TIC 355373774,300247,300312,87171,0.577,0.07069015780651151,0.0
TIC 63777591,14518,14553,14650,1.271,0.40442915349757647,6.668330982292486e-157
TIC 91542943,143256,143301,59955,0.888,0.061102577703938316,0.0
TIC 385504478,46266,46334,31334,1.656,0.628577542263812,0.0
TIC 232965288,103869,103983,51272,4.06,0.5937494701227625,0.0
TIC 376926030,2791470,2794253,292751,5.202,0.38878805344717954,0.0
TIC 142264088,14900,14932,14958,1.179,0.7099508719944754,4.265949473334061e-161
TIC 118807628,52309,53173,36485,1.617,0.5904673458191558,0.0
TIC 257048637,1136067,1138512,188437,0.757,0.3068260831432514,0.0
TIC 22507789,14814,14825,14895,1.618,0.055731168350087186,6.570224700554069e-160
TIC 388966496,41653,41660,28309,3.621,0.002495102582335336,4.955120586676883e-309
TIC 251846450,51174,51197,33164,0.522,0.7739734855245236,0.0
TIC 197005132,17197,17203,17223,0.743,0.32884125847989526,2.5267287813219658e-186
TIC 206605715,12063,12139,12312,1.083,0.5382322372225601,4.17283924337934e-130
TIC 17399504,46824,46832,32606,0.615,0.03290744919029536,0.0
TIC 357105141,30126,31272,26048,4.43,0.9663160705033119,2.0727424604447914e-234
TIC 169385570,50307,50430,33852,1.606,0.18564486130696153,0.0
TIC 301048970,13155,13164,13180,1.88,0.7070764159201176,1.8103662701367283e-141
TIC 118278380,53544,53583,36559,1.472,0.19829842832087666,0.0
TIC 178931743,11699,11699,11701,0.402,0.7851500550341418,3.257647791995065e-125
