loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
5616,893.01,123958679,PC,2459210.2059160,5.6148305,3.8290000,2300.0000000,9.6205800,11.4847000,1241.4200000,9856.0000000,4.0100000,2.5900000
5617,894.01,42755801,FP,2459204.1869480,4.3439549,6.2241757,1436.9443811,22.4556215,9.1672000,661.7400000,9900.0000000,3.6800000,3.8289500
5618,895.01,250484865,FP,2458468.7581100,0.7618900,1.9040000,190.0000000,1.5050300,8.7973000,96.3043000,5998.0000000,4.3900000,1.1100000
5619,896.01,102283403,FA,2458471.1328500,3.5298500,1.9070000,560.0000000,3.2077300,9.0895900,156.1390000,6627.0000000,4.3100000,1.3700000
5620,897.01,229384040,FP,2458469.2952800,1.2927700,2.4130000,330.0000000,2.8448700,9.1126900,165.9430000,6128.0000000,4.0800000,1.6200000
5621,898.01,124543547,FP,2458487.5000000,,7.3520000,6000.0000000,19.7649000,10.5672000,479.0810000,5652.0000000,4.3200000,2.7400000
5622,899.01,177162886,PC,2459379.8709870,12.8461782,2.8830000,8860.0000000,11.6129000,11.5865000,304.7980000,5591.0000000,4.3069500,1.1900000
5623,900.01,210873792,PC,2458626.4845390,4.8494108,5.2266368,1341.9401258,2.7650341,11.9085000,121.0370000,3861.0000000,4.7176700,0.6807110
5624,901.01,214361331,PC,2459362.2478250,3.2308423,0.9282699,2427.4314638,11.1443640,9.6877000,190.4670000,7062.0000000,4.4959600,1.3843600
5625,902.01,216935214,APC,2459363.6107560,18.2587103,1.5823533,1787.7262918,12.3447853,8.9570000,219.4390000,7142.0000000,4.1571300,2.2950301
5626,903.01,238197638,PC,2459374.6085350,7.2766004,4.6260000,2440.0000000,11.5799000,11.7874000,739.2310000,6266.0000000,4.2700000,2.2100000
5627,904.01,261257684,PC,2459366.6286410,10.8772679,2.9077024,1869.5042404,2.5560389,10.8460000,46.0891000,3992.0000000,4.6192900,0.5324390
5628,904.02,261257684,PC,2458714.3511900,83.9996067,5.0810306,1974.6338282,2.3775455,10.8460000,46.0891000,3992.0000000,4.6192900,0.5324390
5629,905.01,261867566,CP,2459365.0454410,3.7395688,2.0224718,15512.7340354,14.0081928,10.5721000,158.6490000,5565.0000000,4.4627700,1.0001800
5630,906.01,298372701,PC,2459385.0407540,1.6647837,1.1620000,1200.0000000,5.0468700,8.5097000,133.7520000,5954.5300000,3.6858200,1.4200000
5631,907.01,305424003,PC,2459388.1543690,4.5849129,5.2493974,2101.0682794,9.6158851,9.9444000,312.5290000,6272.0000000,3.8399000,2.0597899
5632,908.01,350153977,PC,2459384.2905820,3.1837961,2.0450000,780.0000000,3.0897200,10.6513000,175.7480000,5500.0000000,4.9900000,1.0500000
5633,909.01,364107753,FP,2458628.0873640,3.9048220,4.4577980,283.8496840,2.7345980,7.0514000,51.8209000,6059.0600000,4.2900000,1.5784800
5634,910.01,369327947,PC,2459389.1457210,2.0290882,0.6939812,978.0627035,0.9291472,10.1508000,12.4814000,3194.0000000,4.9671800,0.2874970
5635,911.01,389070884,APC,2459383.2673930,8.5841826,1.9510000,8020.0000000,16.6337000,7.9771000,84.7758000,5963.0000000,4.4380000,1.4500000
5636,912.01,406941612,PC,2459386.2542520,4.6780703,1.4910000,1400.0000000,1.8111500,10.4904000,26.1072000,3566.0000000,4.8351900,0.4300000
