Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
3190422864203300000,63.1566,-10.8784,17.1,0.36,27.5,8.7,5.7,198.4126984126984,1
3190584492412420000,61.6208,-10.6147,15.9,1.0,13.8,2.4,3.5,148.14814814814815,1
3190222340769580000,60.3454,-11.147,16.0,0.94,13.4,2.8,3.8,212.7659574468085,1
3190312225845510000,61.4262,-11.6285,16.2,0.4,19.7,7.4,3.3,215.9827213822894,1
6695790384525590000,305.5052,-36.2804,16.1,0.23,19.7,9.4,3.5,263.15789473684214,1
3418398250807300000,76.412,23.065,15.7,0.3,12.1,3.8,2.2,298.5074626865672,1
4111593839099790000,260.3385,-23.3938,15.4,0.92,14.7,3.1,3.8,150.37593984962405,1
3418414193726130000,76.9127,23.1851,15.5,1.0,8.0,3.4,2.9,165.28925619834712,1
6026598569590230000,254.8429,-32.8474,16.4,0.94,17.8,2.0,4.9,150.37593984962405,1
5341964225542590000,178.4475,-57.739,16.3,0.82,26.5,8.0,8.0,103.41261633919338,1
5580229563474930000,98.8509,-36.7798,5.9,0.31,,,,168.91891891891893,1
3704037971403940000,190.6895,3.7437,17.1,0.31,22.7,5.5,5.3,263.15789473684214,1
2019171401285610000,291.2791,22.3134,17.6,0.2,,,,282.4858757062147,1
6011419712791710000,238.0921,-35.541,16.2,1.0,8.6,2.6,2.7,177.61989342806396,1
6011392186336440000,237.9456,-35.9457,11.8,1.0,,,,154.79876160990713,1
4361225451536360000,259.2222,-6.4792,16.3,0.33,20.7,8.9,3.6,168.91891891891893,1
404560016339195000,14.5263,51.1527,15.8,0.48,11.5,3.5,2.7,325.73289902280135,1
6011403494995130000,238.2911,-35.6577,15.5,0.3,18.3,8.4,2.2,215.0537634408602,1
6011432803852540000,238.3488,-35.4624,16.8,0.95,23.4,4.0,5.0,131.75230566534916,1
5427085976192000000,138.6019,-43.2274,5.2,0.62,,,,180.18018018018017,1
2061079630550860000,305.2015,38.2565,7.6,0.34,,,,316.4556962025316,1
2240586276849160000,297.3465,61.1071,17.1,0.15,26.5,24.0,7.2,311.52647975077883,1
2240639843680970000,296.0018,61.3098,16.4,0.3,20.3,10.7,4.6,280.1120448179272,1
5969480662861250000,250.0188,-39.2735,15.3,1.0,6.2,2.6,2.4,175.7469244288225,1
5969503477730110000,250.4875,-38.9215,15.9,0.36,20.4,6.8,5.6,165.28925619834712,1
5427054429650920000,138.127,-43.6132,6.0,0.48,,,,188.32391713747649,1
3232014537223880000,74.6218,2.0377,15.0,0.79,7.7,4.5,1.6,291.5451895043732,1
5558117800527100000,106.258,-45.487,13.3,0.56,,,,327.8688524590164,1
6833883513055810000,317.9223,-18.1917,15.1,0.14,17.9,1.5,3.3,272.47956403269757,1
5969497018099110000,250.5018,-39.0911,17.0,0.59,30.5,9.1,7.0,160.25641025641025,1
6111675382030640000,203.9084,-43.9432,16.9,0.27,41.5,15.2,4.7,125.94458438287153,1
5973119084238380000,257.8991,-38.8194,15.7,0.13,21.7,28.3,1.8,245.7002457002457,1
5345273648130810000,175.8434,-53.4532,15.4,0.55,23.6,6.3,5.4,112.61261261261261,1
6017869825978980000,248.5249,-38.0968,15.3,1.0,7.5,2.9,3.2,172.41379310344828,1
5969499698135280000,250.3845,-39.102,15.1,1.0,4.9,1.3,2.2,170.35775127768312,1
5558102403067730000,105.757,-45.6926,17.7,0.16,39.2,25.0,8.0,257.7319587628866,1
5889928488315610000,229.8646,-51.0765,15.3,0.95,12.1,3.7,4.2,198.4126984126984,1
6111738260351980000,203.4568,-43.679,14.9,0.58,16.3,5.1,6.4,131.23359580052494,1
279413327987836000,77.9701,55.9053,16.5,0.55,11.9,4.1,3.2,293.2551319648094,1
6017871200368580000,248.4652,-38.0203,15.4,0.91,20.3,4.0,3.6,102.3541453428864,1
6111739119345460000,203.5493,-43.6507,17.2,0.43,17.5,4.5,4.1,275.4820936639118,1
5969486022980760000,249.9718,-39.0781,16.1,0.45,19.2,5.8,6.1,181.8181818181818,1
6111740734253230000,203.5827,-43.5473,13.9,0.13,22.3,40.3,2.3,133.15579227696406,1
6017888071000250000,248.2152,-37.9258,11.3,0.27,,,,236.96682464454977,1
6519885429073000000,339.5478,-45.1083,16.6,0.23,35.1,16.6,11.8,148.80952380952382,1
2489355489914740000,37.8182,-3.7815,14.8,0.13,25.3,42.6,5.9,140.4494382022472,1
5905457917492890000,220.186,-48.6404,16.5,1.0,,,,90.09009009009009,1
5993612331721300000,243.1853,-41.3055,17.3,0.2,40.5,18.7,10.7,173.91304347826087,1
5905442116322000000,219.6546,-48.8795,15.8,0.78,19.8,4.8,3.8,124.22360248447204,1
5015778123848150000,23.925,-32.1423,16.8,0.15,26.6,33.0,8.5,283.28611898017,1
6116051713185090000,214.2636,-40.6322,14.3,0.17,21.3,28.9,4.4,145.5604075691412,1
3625524319965100000,193.9582,-11.1073,15.3,0.58,14.4,5.7,2.3,185.87360594795538,1
5437175885160330000,143.2476,-35.4992,15.0,0.53,21.2,8.1,5.4,111.60714285714285,1
5993622399124950000,243.2568,-41.0631,17.0,1.0,12.4,2.9,3.0,159.7444089456869,1
