TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_127171126,22.0,-1.0,GDR2_5901994219673853312,228.4315,-50.7831,6.96,16.9,3.5,0.61,28.1,4.6,5.3
TIC_19212337,-1.0,-1.0,GDR2_4159550138257651584,275.8173,-7.8623,4.34,12.2,1.6,0.95,nan,nan,nan
TIC_165896395,-1.0,-1.0,GDR2_6163273194974253696,204.9288,-37.8769,5.97,15.9,2.8,0.13,29.1,36.9,10.0
TIC_123733021,26.0,-1.0,GDR2_3099314203996040832,103.3364,-6.7532,3.18,16.9,2.8,0.19,23.5,12.1,7.3
TIC_123676768,26.0,4.0,GDR2_3099304892506482560,103.145,-6.9504,3.38,16.8,2.9,0.4,18.3,5.8,4.3
TIC_303291957,-1.0,-1.0,GDR2_5363825334175313408,159.4856,-50.66,3.57,17.7,3.3,0.23,28.3,9.8,5.8
TIC_63280500,-1.0,-1.0,GDR2_6601737262235520000,337.1784,-32.4714,4.67,16.3,2.9,0.16,26.7,33.6,8.9
TIC_38688429,27.0,-1.0,GDR2_3243694168209873792,57.9925,-6.2773,4.87,15.8,2.8,0.37,19.0,4.1,3.9
TIC_428542540,-1.0,-1.0,GDR2_444081102806611200,56.1812,53.4915,3.84,16.7,3.1,0.47,15.7,4.8,4.0
TIC_428595643,-1.0,-1.0,GDR2_444076563023116160,56.5289,53.575,3.46,13.1,1.7,0.22,6.4,2.6,2.1
TIC_428596097,-1.0,-1.0,GDR2_444062960864765440,56.4715,53.3143,3.85,16.8,2.9,0.14,28.7,21.3,12.1
TIC_206591103,-1.0,-1.0,GDR2_4911021431956419072,20.7442,-55.4115,3.18,16.5,2.7,0.19,22.1,12.7,5.0
TIC_428507517,-1.0,-1.0,GDR2_444060280804960896,55.998,53.4647,4.3,16.9,3.3,0.63,16.5,4.4,5.8
TIC_329291782,-1.0,-1.0,GDR2_1364275097192924288,269.3677,49.8391,3.62,17.7,3.2,0.15,35.9,24.4,9.8
TIC_297961352,-1.0,-1.0,GDR2_853848504992048000,158.0621,56.4436,3.47,16.2,2.6,0.15,22.9,27.5,4.7
TIC_339397736,-1.0,-1.0,GDR2_6445465087626049920,295.7912,-60.2829,17.81,13.4,2.9,0.27,27.2,24.9,9.2
TIC_189047635,-1.0,-1.0,GDR2_2069941419383379200,309.2679,44.485,3.19,16.4,2.7,0.37,17.0,4.0,4.6
TIC_300080744,-1.0,-1.0,GDR2_6740246732014245888,297.3883,-36.4183,3.67,16.7,3.0,0.24,20.7,4.5,5.3
TIC_300154663,-1.0,-1.0,GDR2_6740355549305870720,297.5372,-36.0107,4.46,16.6,3.0,0.17,25.3,20.5,7.9
TIC_150070934,-1.0,-1.0,GDR2_986321582918019200,110.3713,51.8757,5.68,16.4,3.1,0.27,26.5,8.6,7.7
TIC_470973539,-1.0,-1.0,GDR2_986340068457206016,110.8349,52.1092,3.98,16.2,2.7,0.14,24.6,19.6,8.2
TIC_453465234,-1.0,-1.0,GDR2_5205867500856667776,152.403,-73.4775,4.71,16.6,3.1,0.45,20.4,7.0,5.5
TIC_388440353,8.0,1.0,GDR2_2286672272366144384,355.8895,82.0944,6.46,15.2,2.8,0.44,20.4,4.2,4.7
TIC_470200312,-1.0,-1.0,GDR2_2286752021318982272,338.0374,80.4958,4.16,16.4,2.9,0.21,23.4,12.8,5.1
TIC_375852868,1.0,-1.0,GDR2_2226243658763815552,336.1287,69.4314,3.03,17.4,3.6,1.0,3.1,1.2,0.7
TIC_423285423,-1.0,-1.0,GDR2_5827578997848511232,234.8105,-61.1322,5.5,16.7,3.3,0.7,19.4,5.1,4.8
TIC_439404216,-1.0,-1.0,GDR2_2468160066827681408,18.2422,-13.2812,4.3,16.7,3.0,0.43,nan,nan,nan
TIC_442897191,-1.0,-1.0,GDR2_2982396707337191552,80.2396,-16.5603,4.19,16.3,2.8,0.21,23.5,11.7,5.8
TIC_442873391,-1.0,-1.0,GDR2_2982278097519430656,80.0038,-16.9224,3.61,16.7,2.9,0.17,25.0,11.4,4.9
TIC_384641438,-1.0,-1.0,GDR2_5310890893055850880,136.776,-55.4982,3.24,17.9,3.2,0.22,28.1,8.4,5.5
TIC_280571437,-1.0,-1.0,GDR2_542979283208561152,50.389,70.5445,3.31,16.7,2.9,0.23,20.5,7.1,4.5
TIC_156214370,-1.0,-1.0,GDR2_1717326494164827392,184.9944,78.2876,3.53,17.1,3.0,0.33,19.9,7.4,6.9
TIC_142796544,-1.0,-1.0,GDR2_5758725827316257024,138.6677,-4.9428,5.17,16.0,2.8,0.16,26.4,27.3,8.0
TIC_309411136,-1.0,-1.0,GDR2_5191889821846842368,138.4638,-84.1934,4.52,16.1,2.8,0.14,26.3,11.2,8.7
TIC_34200569,27.0,2.0,GDR2_3190520858177029376,61.1374,-11.2997,5.13,15.3,2.9,1.0,8.4,2.7,3.8
TIC_154549731,-1.0,-1.0,GDR2_1717031309652632448,188.3398,77.4674,3.93,16.5,2.8,0.22,24.1,19.0,5.7
TIC_65365193,-1.0,-1.0,GDR2_1998358917451985792,358.6341,57.8922,4.83,16.3,3.0,0.25,22.8,5.5,6.9
TIC_372412744,-1.0,-1.0,GDR2_4323144927170106752,293.077,18.3823,5.11,17.4,3.4,0.36,31.0,7.1,4.0
TIC_467393247,-1.0,-1.0,GDR2_1846416271738776832,314.7912,29.2609,12.69,13.6,2.7,0.37,22.8,15.4,4.7
TIC_178211567,22.0,-1.0,GDR2_6007810634598399744,236.2458,-41.4343,7.71,16.8,3.7,1.0,15.7,3.7,4.6
TIC_467393923,-1.0,-1.0,GDR2_1846439189684613248,314.7227,29.5658,6.98,15.4,2.9,0.35,22.0,6.5,7.1
TIC_34236642,-1.0,-1.0,GDR2_3190528692197359104,61.3818,-11.1732,8.63,16.4,3.3,0.17,40.6,19.5,10.8
TIC_67688995,27.0,2.0,GDR2_3190422864203296128,63.1566,-10.8784,5.04,17.1,3.3,0.36,27.5,8.7,5.7
TIC_34268466,-1.0,-1.0,GDR2_3190584492412422784,61.6208,-10.6147,6.75,15.9,3.3,1.0,13.8,2.4,3.5
TIC_34147460,27.0,2.0,GDR2_3190222340769581568,60.3454,-11.147,4.7,16.0,2.9,0.94,13.4,2.8,3.8
